name,artist,year,search_query
"Whenever, Wherever",Shakira,2001,"Shakira Whenever, Wherever"
Complicated,Avril Lavigne,2002,Avril Lavigne Complicated
The Ketchup Song (Aserejé),Las Ketchup,2002,Las Ketchup The Ketchup Song (Aserejé) (Spanish Version)
A Thousand Miles,Vanessa Carlton,2002,Vanessa Carlton A Thousand Miles
Crazy in Love,Beyoncé,2003,Beyoncé Crazy In Love (feat. JAY-Z)
Where Is the Love?,Black Eyed Peas,2003,The Black Eyed Peas Where Is The Love?
Bring Me to Life,Evanescence,2003,Evanescence Bring Me To Life
Toxic,Britney Spears,2004,Britney Spears Toxic
Yeah!,Usher,2004,USHER Yeah! (feat. Lil Jon & Ludacris)
You're Beautiful,James Blunt,2005,James Blunt You're Beautiful
Hung Up,Madonna,2005,Madonna Hung Up
Hips Don't Lie,Shakira,2006,Shakira Hips Don't Lie (feat. Wyclef Jean)
SexyBack,Justin Timberlake,2006,Justin Timberlake SexyBack (feat. Timbaland)
Umbrella,Rihanna,2007,Rihanna Umbrella
Beautiful Liar,Beyoncé & Shakira,2007,Beyoncé Beautiful Liar
Love Today,Mika,2007,MIKA Love Today
I Kissed a Girl,Katy Perry,2008,Katy Perry I Kissed A Girl
Poker Face,Lady Gaga,2008,Lady Gaga Poker Face
Single Ladies,Beyoncé,2008,Beyoncé Single Ladies (Put a Ring on It)
I Gotta Feeling,Black Eyed Peas,2009,The Black Eyed Peas I Gotta Feeling
Bad Romance,Lady Gaga,2009,Lady Gaga Bad Romance
Tik Tok,Kesha,2009,Ke$ha TiK ToK
California Gurls,Katy Perry,2010,Katy Perry California Gurls
Only Girl (In the World),Rihanna,2010,Rihanna Only Girl (In The World)
Baby,Justin Bieber,2010,Justin Bieber Baby
Moves Like Jagger,Maroon 5 ft. Christina Aguilera,2011,"Maroon 5 Moves Like Jagger (Studio Recording From ""The Voice"" Performance)"
Rolling in the Deep,Adele,2011,Adele Rolling in the Deep
Party Rock Anthem,LMFAO,2011,LMFAO Party Rock Anthem
Call Me Maybe,Carly Rae Jepsen,2012,Carly Rae Jepsen Call Me Maybe
Gangnam Style,PSY,2012,Psy Gangnam Style (강남스타일)
Starships,Nicki Minaj,2012,Nicki Minaj Starships
Roar,Katy Perry,2013,Katy Perry Roar
Wrecking Ball,Miley Cyrus,2013,Miley Cyrus Wrecking Ball
Happy,Pharrell Williams,2014,"Pharrell Williams Happy (From ""Despicable Me 2"")"
All About That Bass,Meghan Trainor,2014,Meghan Trainor All About That Bass
Uptown Funk,Mark Ronson ft. Bruno Mars,2015,Mark Ronson Uptown Funk (feat. Bruno Mars)
Hello,Adele,2015,Adele Hello
Can't Feel My Face,The Weeknd,2015,The Weeknd Can't Feel My Face
Cheap Thrills,Sia,2016,Sia Cheap Thrills (feat. Sean Paul)
Can't Stop the Feeling!,Justin Timberlake,2016,"Justin Timberlake CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")"
Shape of You,Ed Sheeran,2017,Ed Sheeran Shape of You
Toy,נטע ברזילי,2018,Netta TOY (Music Video Version)
פאוץ',נועה קירל,2018,Noa Kirel פאוץ'
God Is a Woman,Ariana Grande,2018,Ariana Grande God is a woman
Bad Guy,Billie Eilish,2019,Billie Eilish bad guy (with Justin Bieber)
7 Rings,Ariana Grande,2019,Ariana Grande 7 rings
מיליון דולר,נועה קירל,2019,Noa Kirel מיליון דולר
Blinding Lights,The Weeknd,2020,The Weeknd Blinding Lights
Dynamite,BTS,2020,BTS Dynamite
Stay,The Kid LAROI & Justin Bieber,2021,The Kid LAROI STAY
בית משוגעים,רן דנקר,2021,Ran Danker בית משוגעים
אפס מאמץ,סטטיק ובן אל תבורי ונטע,2021,Static & Ben El Tavori אפס מאמץ
לך לישון,אנה זק,2022,Anna Zak לך לישון
As It Was,Harry Styles,2022,Harry Styles As It Was
פעמון,נועה קירל ואיתי גלו,2022,Noa Kirel פעמון
Flowers,Miley Cyrus,2023,Miley Cyrus Flowers
Unicorn,נועה קירל,2023,Noa Kirel Unicorn
Espresso,Sabrina Carpenter,2024,Sabrina Carpenter Espresso
Hurricane,עדן גולן,2024,Eden Golan Hurricane
Die With A Smile,Lady Gaga & Bruno Mars,2025,Lady Gaga Die With A Smile
Ordinary,Alex Warren,2025,Alex Warren Ordinary
