name,artist,year,search_query
Sabe Deus,הפרויקט של עידן רייכל,2013,The Idan Raichel Project Sabe Deus
נעים עכשיו,עילי בוטנר וילדי החוץ,2013,Elai Botner and Yaldei Hachutz נעים עכשיו
Diamonds,Rihanna,2012,Rihanna Diamonds
Somebody That I Used To Know,Gotye ft. Kimbra,2012,Gotye Somebody That I Used To Know (4FRNT Remix)
Titanium,David Guetta ft. Sia,2012,David Guetta Titanium (feat. Sia)
Gangnam Style,PSY,2012,Psy Gangnam Style (강남스타일)
We Are Young,fun. ft. Janelle Monáe,2012,Fun. We Are Young (feat. Janelle Monáe)
יש לך,שלומי שבת,2012,Shlomi Shabat יש לך
זיקוקים,משה פרץ,2012,Moshe Peretz זיקוקים
כשאת איתו,אייל גולן,2012,Eyal Golan כשאת איתו
Someone Like You,Adele,2011,Adele Someone Like You
Rolling in the Deep,Adele,2011,Adele Rolling in the Deep
Moves Like Jagger,Maroon 5 ft. Christina Aguilera,2011,"Maroon 5 Moves Like Jagger (Studio Recording From ""The Voice"" Performance)"
Grenade,Bruno Mars,2011,Bruno Mars Grenade
Set Fire to the Rain,Adele,2011,Adele Set Fire to the Rain
כאב של לוחמים,עידן עמדי,2011,Idan Amedi כאב של לוחמים
אדם בחדרו,אריק איינשטיין,2011,Arik Einstein אדם בחדרו
Love the Way You Lie,Eminem ft. Rihanna,2010,Eminem Love The Way You Lie
Bad Romance,Lady Gaga,2010,Lady Gaga Bad Romance
Tik Tok,Kesha,2010,Ke$ha TiK ToK
Empire State of Mind,Jay-Z ft. Alicia Keys,2010,JAŸ-Z Empire State Of Mind
Waka Waka (This Time for Africa),Shakira,2010,Shakira Waka Waka (This Time for Africa) (feat. Freshlyground)
אורות,אברהם טל,2010,Avraham Tal אורות
אצלך בעולם,היהודים,2010,Hayehudim אצלך בעולם
שוב מאושר,הראל סקעת,2010,Harel Skaat שוב מאושר
I Gotta Feeling,Black Eyed Peas,2009,The Black Eyed Peas I Gotta Feeling
Poker Face,Lady Gaga,2009,Lady Gaga Poker Face
Halo,Beyoncé,2009,Beyoncé Halo
Celebration,Madonna,2009,Madonna Celebration (feat. Akon)
Paparazzi,Lady Gaga,2009,Lady Gaga Paparazzi
עד מחר,אביתר בנאי,2009,Eviatar Banai עד מחר
שאריות של החיים,עידן רייכל,2009,The Idan Raichel Project שאריות של החיים (Live)
חלומות של אחרים,עידן רייכל,2009,The Idan Raichel Project חלומות של אחרים
נשימה,חן אהרוני,2009,Chen Aharoni נשימה
I Kissed a Girl,Katy Perry,2008,Katy Perry I Kissed A Girl
Shine On,R.I.O,2008,R.I.O. Shine On
American Boy,Estelle ft. Kanye West,2008,Estelle American Boy
Lost,Coldplay,2008,Coldplay Lost!
Back To Black,Amy Winehouse,2008,Amy Winehouse Back To Black
אבא,אביתר בנאי,2008,Eviatar Banai אבא (לייב במגדל דוד)
אגו טריפ,עלמה זהר,2008,Alma Zohar אגו-טריפ
Umbrella,Rihanna,2007,Rihanna Umbrella
"Relax, Take It Easy",Mika,2007,"MIKA Relax, Take It Easy"
Grace Kelly,Mika,2007,MIKA Grace Kelly
Say It Right,Nelly Furtado,2007,Nelly Furtado Say It Right
Hey There Delilah,Plain White T's,2007,Plain White T's Hey There Delilah
תראי זה אני,סינרגיה,2007,Synergia תראי זה אני
עכשיו אתה חוזר בחזרה,מירי מסיקה,2007,Miri Mesika עכשיו אתה חוזר בחזרה
בואי נעזוב,רן דנקר,2007,Elai Botner בואי נעזוב
בשבילך,אביב גפן,2007,Aviv Geffen בשבילך
Hips Don't Lie,Shakira,2006,Shakira Hips Don't Lie (feat. Wyclef Jean)
Because of You,Kelly Clarkson,2006,Kelly Clarkson Because of You
Hurt,Christina Aguilera,2006,Christina Aguilera Hurt
Unfaithful,Rihanna,2006,Rihanna Unfaithful (Album Version)
One,Mary J Blige & U2,2006,Mary J. Blige One
ואת,הראל סקעת,2006,Harel Skaat ואת
כשאתה כאן,נינט טייב,2006,Ninet Tayeb כשאתה כאן
כמה עוד אפשר,הראל סקעת,2006,Harel Skaat כמה עוד אפשר
הנה אני בא,הדג נחש,2006,Hadag Nahash הנה אני בא
כל הציפורים,הראל סקעת,2006,Harel Skaat כל הציפורים
You're Beautiful,James Blunt,2005,James Blunt You're Beautiful
Bad Day,Daniel Powter,2005,Daniel Powter Bad Day
Speed of Sound,Coldplay,2005,Coldplay Speed of Sound
Incomplete,Backstreet Boys,2005,Backstreet Boys Incomplete
Lonely,Akon,2005,Akon Lonely
לשם,מירי מסיקה,2005,Miri Mesika לשם
תגידי לו,אוהד חיטמן,2005,Ohad Hitman תגידי לו
ממעמקים,עידן רייכל,2005,The Idan Raichel Project ממעמקים
אהבה,דנה ברגר,2005,Dana Berger אהבה
השקט שנשאר,שירי מימון,2005,Shiri Maimon השקט שנשאר
My Immortal,Evanescence,2004,Evanescence My Immortal
This Love,Maroon 5,2004,Maroon 5 This Love
She Will Be Loved,Maroon 5,2004,Maroon 5 She Will Be Loved
Sick and Tired,Anastacia,2004,Anastacia Sick and Tired
Toxic,Britney Spears,2004,Britney Spears Toxic
ניצחת איתי הכל,עמיר בניון,2004,Ishay Ribo ניצחת איתי הכל לייב
הלב,מאיה בוסקילה,2004,Maya Buskila הלב
White Flag,Dido,2003,Dido White Flag
Bring Me to Life,Evanescence,2003,Evanescence Bring Me To Life
Where is the Love?,Black Eyed Peas,2003,The Black Eyed Peas Where Is The Love?
Beautiful,Christina Aguilera,2003,Christina Aguilera Beautiful
Clocks,Coldplay,2003,Coldplay Clocks
אם תלך,עידן רייכל,2003,The Idan Raichel Project אם תלך
משהו קטן וטוב,משינה,2003,Mashina משהו קטן וטוב
בואי,עידן רייכל,2003,The Idan Raichel Project בואי
ארוץ אליך,שרון רוטר,2003,שרון רוטר ארוץ אליך
All the Things She Said,t.A.T.u.,2002,t.A.T.u. All The Things She Said
Dilemma,Nelly ft. Kelly Rowland,2002,Nelly Dilemma
Complicated,Avril Lavigne,2002,Avril Lavigne Complicated
Hero,Chad Kroeger,2002,Chad Kroeger Hero (feat. Josey Scott)
How You Remind Me,Nickelback,2002,Nickelback How You Remind Me
Can't Get You Out of My Head,Kylie Minogue,2001,Kylie Minogue Can't Get You out of My Head
Clint Eastwood,Gorillaz,2001,Gorillaz Clint Eastwood
I'm Like a Bird,Nelly Furtado,2001,Nelly Furtado I'm Like A Bird
Fallin',Alicia Keys,2001,Alicia Keys Fallin'
Supreme,Robbie Williams,2001,Robbie Williams Supreme
Stan,Eminem,2000,Eminem Stan
Summer Moved On,a-ha,2000,a-ha Summer Moved On (Radio Edit; 2004 Remaster)
Californication,Red Hot Chili Peppers,2000,Red Hot Chili Peppers Californication
Michel,Anouk,2000,Anouk Michel
Baby One More Time,Britney Spears,1999,Britney Spears ...Baby One More Time
When I Grow Up,Garbage,1999,Garbage When I Grow Up (Danny Tenaglia Golden Shower Dub Mix)
Scar Tissue,Red Hot Chili Peppers,1999,Red Hot Chili Peppers Scar Tissue
Maria,Blondie,1999,Blondie Maria
Pretty Fly (For a White Guy),The Offspring,1999,The Offspring Pretty Fly (For A White Guy)
